iter	Passed	Remaining
0	0	70
1	0	59
2	0	51
3	0	47
4	0	44
5	0	42
6	0	41
7	0	40
8	0	39
9	1	39
10	1	38
11	1	37
12	1	37
13	1	36
14	1	36
15	1	36
16	1	35
17	1	35
18	1	35
19	1	35
20	1	35
21	2	35
22	2	35
23	2	34
24	2	34
25	2	34
26	2	34
27	2	34
28	2	33
29	2	33
30	2	33
31	2	33
32	2	33
33	3	33
34	3	32
35	3	32
36	3	32
37	3	32
38	3	32
39	3	32
40	3	32
41	3	31
42	3	31
43	3	31
44	3	31
45	4	31
46	4	31
47	4	31
48	4	30
49	4	30
50	4	30
51	4	30
52	4	30
53	4	30
54	4	30
55	4	30
56	4	30
57	5	29
58	5	29
59	5	29
60	5	29
61	5	29
62	5	29
63	5	29
64	5	29
65	5	29
66	5	28
67	5	28
68	5	28
69	6	28
70	6	28
71	6	28
72	6	28
73	6	28
74	6	28
75	6	27
76	6	27
77	6	27
78	6	27
79	6	27
80	6	27
81	7	27
82	7	27
83	7	27
84	7	27
85	7	26
86	7	26
87	7	26
88	7	26
89	7	26
90	7	26
91	7	26
92	7	26
93	8	26
94	8	26
95	8	26
96	8	25
97	8	25
98	8	25
99	8	25
100	8	25
101	8	25
102	8	25
103	8	25
104	9	25
105	9	25
106	9	25
107	9	25
108	9	24
109	9	24
110	9	24
111	9	24
112	9	24
113	9	24
114	9	24
115	9	24
116	10	24
117	10	24
118	10	24
119	10	23
120	10	23
121	10	23
122	10	23
123	10	23
124	10	23
125	10	23
126	10	23
127	10	23
128	11	23
129	11	23
130	11	23
131	11	22
132	11	22
133	11	22
134	11	22
135	11	22
136	11	22
137	11	22
138	11	22
139	11	22
140	12	22
141	12	22
142	12	21
143	12	21
144	12	21
145	12	21
146	12	21
147	12	21
148	12	21
149	12	21
150	12	21
151	13	21
152	13	21
153	13	21
154	13	20
155	13	20
156	13	20
157	13	20
158	13	20
159	13	20
160	13	20
161	13	20
162	13	20
163	13	20
164	14	20
165	14	19
166	14	19
167	14	19
168	14	19
169	14	19
170	14	19
171	14	19
172	14	19
173	14	19
174	14	19
175	14	19
176	15	18
177	15	18
178	15	18
179	15	18
180	15	18
181	15	18
182	15	18
183	15	18
184	15	18
185	15	18
186	15	18
187	15	18
188	16	17
189	16	17
190	16	17
191	16	17
192	16	17
193	16	17
194	16	17
195	16	17
196	16	17
197	16	17
198	16	17
199	16	16
200	17	16
201	17	16
202	17	16
203	17	16
204	17	16
205	17	16
206	17	16
207	17	16
208	17	16
209	17	16
210	17	16
211	18	15
212	18	15
213	18	15
214	18	15
215	18	15
216	18	15
217	18	15
218	18	15
219	18	15
220	18	15
221	18	15
222	19	15
223	19	15
224	19	15
225	19	15
226	19	14
227	19	14
228	19	14
229	20	14
230	20	14
231	20	14
232	20	14
233	20	14
234	20	14
235	20	14
236	20	14
237	21	14
238	21	14
239	21	14
240	21	14
241	21	14
242	21	14
243	21	13
244	21	13
245	22	13
246	22	13
247	22	13
248	22	13
249	22	13
250	22	13
251	22	13
252	23	13
253	23	13
254	23	13
255	23	13
256	23	13
257	23	13
258	23	12
259	24	12
260	24	12
261	24	12
262	24	12
263	24	12
264	24	12
265	24	12
266	24	12
267	25	12
268	25	12
269	25	12
270	25	12
271	25	12
272	25	11
273	25	11
274	26	11
275	26	11
276	26	11
277	26	11
278	26	11
279	26	11
280	26	11
281	26	11
282	27	11
283	27	11
284	27	11
285	27	10
286	27	10
287	27	10
288	27	10
289	27	10
290	28	10
291	28	10
292	28	10
293	28	10
294	28	10
295	28	10
296	28	10
297	28	9
298	29	9
299	29	9
300	29	9
301	29	9
302	29	9
303	29	9
304	29	9
305	30	9
306	30	9
307	30	9
308	30	8
309	30	8
310	30	8
311	30	8
312	30	8
313	31	8
314	31	8
315	31	8
316	31	8
317	31	8
318	31	8
319	31	7
320	31	7
321	32	7
322	32	7
323	32	7
324	32	7
325	32	7
326	32	7
327	32	7
328	33	7
329	33	7
330	33	6
331	33	6
332	33	6
333	33	6
334	33	6
335	33	6
336	34	6
337	34	6
338	34	6
339	34	6
340	34	5
341	34	5
342	34	5
343	35	5
344	35	5
345	35	5
346	35	5
347	35	5
348	35	5
349	35	5
350	35	5
351	36	4
352	36	4
353	36	4
354	36	4
355	36	4
356	36	4
357	36	4
358	37	4
359	37	4
360	37	4
361	37	3
362	37	3
363	37	3
364	37	3
365	37	3
366	38	3
367	38	3
368	38	3
369	38	3
370	38	3
371	38	2
372	38	2
373	38	2
374	39	2
375	39	2
376	39	2
377	39	2
378	39	2
379	39	2
380	39	1
381	40	1
382	40	1
383	40	1
384	40	1
385	40	1
386	40	1
387	40	1
388	40	1
389	41	1
390	41	0
391	41	0
392	41	0
393	41	0
394	41	0
395	41	0
396	42	0
397	42	0
398	42	0
399	42	0
